ID,N,CHL,CAR,ANT,EWT,LMA,CBC,PROT,BROWN,alpha
1,1.74431322323785,33.7445122372382,12.4956790063062,13.3279455932759,0.0127118828843376,0.00542717420692183,0,0,0,40
2,1.66483440976313,37.6712665284599,12.3150689525172,10.2008484515853,0.0121308032561882,0.00526462308929492,0,0,0,40
3,1.58106598169927,27.4691966776229,16.3381814443606,33.4767300461911,0.0108808422134032,0.00439055673245596,0,0,0,40
4,1.91146156039341,52.0023854778345,15.5303506415243,6.83437452671272,0.015071775610318,0.00655405518120858,0,0,0,40
5,1.59272451989495,33.864019363454,15.7628807918635,28.4926675265411,0.0125931205058509,0.00515638717985717,0,0,0,40
6,1.77214091950892,36.5045089952719,6.1259377658199,11.7161413799358,0.0117384989350994,0.00466485718522436,0,0,0,40
7,1.65652104153423,47.1763961754452,14.6784664885363,8.64311500206476,0.0144852167758662,0.00532579740436834,0,0,0,40
8,1.58256681829909,35.5477694886567,14.8671365976739,27.1505570188212,0.0144831028233701,0.00644533275357109,0,0,0,40
9,1.61162197428228,38.1557658185728,12.6935950978078,50,0.0141845080484372,0.00550230356555388,0,0,0,40
10,1.50990968490127,33.0444708786318,7.24401491125105,8.3510837579564,0.00970500199932755,0.00397703612583663,0,0,0,40
